aktiv,src_file,target_file,order
1,geonote_basvag_style,springfield_geonote_style,2
1,geonote_hansyn_style,springfield_geonote_style,1
1,geonote_avdelning_style,springfield_geonote_style,0
1,geonote_ovrigt_style,springfield_geonote_style,3
1,arter_style,springfield_geodatapackage_style,50
1,bakgrundskarta_style,springfield_geodatapackage_style,0
1,skifte_style,springfield_geodatapackage_style,1
1,avdelning_style,springfield_geodatapackage_style,2
1,atgard_style,springfield_geodatapackage_style,3
1,anmalan_style,springfield_geodatapackage_style,3.5
1,restriktion_style,springfield_geodatapackage_style,4
1,fornlamning_style,springfield_geodatapackage_style,4.2
1,kulturminne_style,springfield_geodatapackage_style,4.5
1,hansyn_style,springfield_geodatapackage_style,5
0,vag_style,springfield_geodatapackage_style,6
1,drivning_style,springfield_geodatapackage_style,7
1,text_style,springfield_geodatapackage_style,99
